,country_code,region_id,region_level,region_name,support_below_18
444,US,566,PROVINCE,"Harrisburg-Lancaster-Lebanon-York,DMA®",True
445,JP,1854484,PROVINCE,Oita,True
446,MX,3983035,PROVINCE,Sinaloa,True
447,DK,6418538,PROVINCE,Capital Region of Denmark,True
448,US,745,PROVINCE,"Fairbanks,DMA®",True
449,DK,6418539,PROVINCE,Central Denmark Region,True
450,ES,3336900,PROVINCE,Castile and Leon,True
451,US,577,PROVINCE,"Wilkes-Barre–Scranton–Hazleton,DMA®",True
452,KZ,608879,PROVINCE,Mangystau Region,True
453,TR,746878,PROVINCE,Giresun,True
454,US,644,PROVINCE,"Alexandria, LA,DMA®",True
455,BR,3463504,PROVINCE,Federal District,True
456,IE,6697759,PROVINCE,South Dublin,True
457,TR,443183,PROVINCE,Osmaniye,True
458,SE,2676207,PROVINCE,Sodermanland,True
459,CA,6091530,PROVINCE,Nova Scotia,True
460,US,598,PROVINCE,"Clarksburg-Weston,DMA®",True
461,BD,11287936,PROVINCE,Mymensingh,True
462,US,526,PROVINCE,"Utica,DMA®",True
463,US,567,PROVINCE,"Greenville-Spartanburg-Asheville-Anderson,DMA®",True
464,TR,298298,PROVINCE,Usak,True
465,FR,11071621,PROVINCE,Normandy,True
466,ES,2593111,PROVINCE,Castilla La Mancha,True
467,BR,3393129,PROVINCE,Para,True
468,JP,1862047,PROVINCE,Hyogo,True
469,KR,1835847,PROVINCE,Seoul,True
470,BR,3450387,PROVINCE,Santa Catarina,True
471,US,529,PROVINCE,"Louisville,DMA®",True
472,DK,6418542,PROVINCE,Region of Southern Denmark,True
473,MA,11281878,PROVINCE,Beni Mellal-Khenifra,True
474,RO,686583,PROVINCE,Alba,True
475,US,4142224,PROVINCE,Delaware,True
476,IE,2964574,PROVINCE,Dublin City,True
477,RO,677104,PROVINCE,Giurgiu,True
478,US,4331987,PROVINCE,Louisiana,True
479,IE,2962667,PROVINCE,Mayo,True
480,RO,683504,PROVINCE,Bucuresti,True
481,NO,3132015,PROVINCE,Vestfold og Telemark,True
482,FI,830699,PROVINCE,South Karelia,True
483,IT,2525468,PROVINCE,Calabria,True
484,US,512,PROVINCE,"Baltimore,DMA®",True
485,US,588,PROVINCE,"South Bend-Elkhart,DMA®",True
486,US,821,PROVINCE,"Bend, OR,DMA®",True
487,US,743,PROVINCE,"Anchorage,DMA®",True
488,US,722,PROVINCE,"Lincoln-Hastings-Kearney,DMA®",True
489,BR,3407762,PROVINCE,Amapa,True
490,MA,11281879,PROVINCE,Casablanca-Settat,True
491,JP,1855608,PROVINCE,Nara,True
492,US,648,PROVINCE,"Champaign-Springfield-Decatur,DMA®",True
493,US,773,PROVINCE,"Grand Junction-Montrose,DMA®",True
494,BR,3665474,PROVINCE,Acre,True
495,TR,325329,PROVINCE,Adiyaman,True
496,TR,304825,PROVINCE,Manisa,True
497,TR,750268,PROVINCE,Bursa,True
498,FI,830708,PROVINCE,Southwest Finland,True
499,TR,311071,PROVINCE,Isparta,True
500,US,638,PROVINCE,"St. Joseph,DMA®",True
501,NL,2755634,PROVINCE,Gelderland,True
502,CH,2659810,PROVINCE,Lucerne,True
503,MX,3995955,PROVINCE,Michoacan,True
504,GB,6269131,PROVINCE,England,True
505,MX,4019231,PROVINCE,Aguascalientes,True
506,RO,683902,PROVINCE,Braila,True
507,PL,858790,PROVINCE,Swietokrzyskie,True
508,TR,862468,PROVINCE,Karabuk,True
509,MX,3520887,PROVINCE,Quintana Roo,True
510,MX,3531730,PROVINCE,Campeche,True
511,PT,2735941,PROVINCE,Porto,True
512,US,747,PROVINCE,"Juneau,DMA®",True
513,PT,2740636,PROVINCE,Coimbra,True
514,FI,830685,PROVINCE,Central Finland,True
515,TR,304919,PROVINCE,Malatya,True
516,RO,673612,PROVINCE,Mehedinti,True
517,MX,4017698,PROVINCE,Baja California Sur,True
518,US,504,PROVINCE,"Philadelphia,DMA®",True
519,US,600,PROVINCE,"Corpus Christi,DMA®",True
520,MA,11281881,PROVINCE,Draa-Tafilalet,True
521,BD,1337179,PROVINCE,Dhaka,True
522,US,813,PROVINCE,"Medford-Klamath Falls,DMA®",True
523,IE,2960964,PROVINCE,Wexford,True
524,US,500,PROVINCE,"Portland-Auburn,DMA®",True
525,US,627,PROVINCE,"Wichita Falls & Lawton,DMA®",True
526,EG,360631,PROVINCE,Cairo,True
527,US,632,PROVINCE,"Paducah-Cape Girardeau-Harrisburg,DMA®",True
528,BD,1477362,PROVINCE,Sylhet,True
529,US,6254928,PROVINCE,Virginia,True
530,PK,1167710,PROVINCE,Punjab,True
531,US,658,PROVINCE,"Green Bay-Appleton,DMA®",True
532,FR,11071619,PROVINCE,Bourgogne Franche Comte,True
533,JP,1862413,PROVINCE,Hiroshima,True
534,IT,2523119,PROVINCE,Sicily,True
535,US,4099753,PROVINCE,Arkansas,True
536,US,531,PROVINCE,"Tri-Cities, TN-VA,DMA®",True
537,RO,671857,PROVINCE,Olt,True
538,JP,2113124,PROVINCE,Akita,True
539,US,5332921,PROVINCE,California,True
