iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2
ESH;16528.000000000004;15807.0;29418.0;26494.0;53253.0;41490.0;64658.0;46044.0;44309.0;28133.0;43848.000000000015;37473.00000000001;0.9563770571151984;0.9006050717247943;0.7791110359979719;0.7121160567911163;0.6349274413775983;0.8546113847837985;252014.0;195441.0;447455.0;0.7755164395628814;EH
ESP;1049018.0;991252.0;1760471.0000000002;1656994.0;2682097.0;2616179.0;3406463.0;3359895.0;3955980.0;3872376.0;7624310.0;9018800.0;0.944933261393036;0.941221979799724;0.9754229619584974;0.986329515394707;0.9788664250072044;1.1829004854209757;20478339.0;21515496.0;41993835.0;1.0506465392530129;ES
EST;31612.0;29681.0;46845.99999999999;44939.0;88959.0;81686.0;102749.0;94950.0;93663.0;91948.0;180336.99999999997;275528.9999999999;0.9389156016702518;0.959292148742689;0.9182432356478828;0.9240965848816048;0.981689674684774;1.527856180373412;544166.0;618732.9999999999;1162899.0;1.1370298769125595;EE
ETH;5957806.0;5791737.0;9174349.0;9021622.0;9927497.0;9819776.0;6139873.0;6153588.0;4032029.0;4312568.0;4354895.000000001;5111996.999999999;0.9721258127572464;0.9833528242712372;0.9891492286524992;1.002233759558219;1.0695776245656965;1.173850804669228;39586449.0;40211288.0;79797737.0;1.015784163919325;ET
FIN;127697.0;122320.0;219251.0;206756.0;367622.0;344978.0;372333.0;348841.0;338860.0;327135.0;938170.0;1096030.9999999998;0.957892511178806;0.9430105221869;0.93840412162493;0.9369059417242092;0.96539868972437;1.1682648134133469;2363933.0;2446061.0;4809994.0;1.034742101404735;FI
FJI;32747.0;33288.0;52009.0;52713.0;73211.0;72905.0;66815.0;66645.0;48776.0;48303.0;63449.0;73804.0;1.0165205973066236;1.0135361187486782;0.9958203002281076;0.9974556611539324;0.9903026078399212;1.1632019417169694;337007.0;347658.0;684665.0;1.0316046847691591;FJ
FLK;65.0;77.0;105.0;111.0;219.0;244.0;291.0;274.0;346.0;311.0;432.00000000000006;480.00000000000006;1.1846153846153846;1.0571428571428572;1.1141552511415524;0.9415807560137456;0.8988439306358381;1.1111111111111112;1458.0;1497.0;2955.0;1.0267489711934157;FK
FRA;1689367.0;1603571.0;2898434.0;2754285.0;3802443.0;3813108.0;3987625.0;4147585.0;4213463.0;4320827.0;10248004.0;12487636.0;0.9492141139255116;0.9502665922356692;1.0028047757717866;1.0401141030061754;1.025481177834005;1.2185432402251208;26839336.0;29127012.0;55966348.0;1.0852359387728518;FR
FRO;1541.0;1497.0;2645.0;2322.0;3543.0;3073.0;3460.0;3111.0;3564.0;3104.0;8108.999999999998;8110.999999999997;0.9714471122647632;0.877882797731569;0.8673440587073102;0.8991329479768786;0.8709315375982043;1.0002466395363176;22862.0;21218.0;44080.0;0.9280902808153266;FO
FSM;4709.0;4738.0;7948.000000000001;7799.0;9204.0;8819.0;5687.0;5707.0;4516.0;5001.0;6364.999999999999;8038.0;1.006158420046719;0.981253145445395;0.9581703607127336;1.0035167926850712;1.1073959255978745;1.262843676355067;38429.0;40102.0;78531.0;1.0435348304665748;FM
GAB;94427.0;94127.0;142934.0;141930.0;196469.0;184572.0;170348.0;151821.0;108520.0;98415.0;107262.0;113636.0;0.9968229425905726;0.9929757790308814;0.93944591767658;0.8912402845938902;0.9068835237744196;1.059424586526449;819960.0;784501.0;1604461.0;0.956755207571101;GA
GBR;1666107.0;1584599.0;2859062.0000000005;2699477.0;4615002.0;4480328.0;4456622.0;4539491.0;4326181.0;4488131.0;10048955.0;11525335.0;0.951078772251722;0.9441827424518948;0.9708182141632876;1.018594576789326;1.0374348646069131;1.1469187592142664;27971929.0;29317361.0;57289290.0;1.048099364187575;GB
GEO;94632.0;89666.0;153248.0;144148.0;255427.00000000003;258691.0;258399.0;277617.0;215465.0;251248.0;408027.0;646400.0000000001;0.947523036604954;0.940619127166423;1.012778602105494;1.0743733528380528;1.1660733761863875;1.5842088881373049;1385198.0;1667770.0;3052968.0;1.2039939416603258;GE
GGY;1371.0;1229.0;2486.0;2386.0;4036.0;3862.0;4164.0;3988.0;4333.0;4591.0;10832.999999999996;12118.0;0.8964259664478483;0.9597747385358004;0.9568880079286424;0.957732949087416;1.059543041772444;1.118619034431829;27223.0;28174.0;55397.0;1.0349336957719577;GG
GHA;1420614.0;1395992.0;2173741.0;2142221.0;2546690.0;2527519.0;2041252.0;2047938.0;1358248.0;1403421.0;1383852.0;1579270.0000000002;0.9826680576145244;0.9854996524424944;0.9924721893909348;1.0032754407589068;1.0332582856738977;1.1412130776990606;10924397.0;11096361.0;22020758.0;1.015741280731559;GH
GIB;943.0;914.0;1682.0;1608.0;2517.0;2475.0;2615.0;2589.0;2499.0;2525.0;5390.999999999998;5919.0;0.9692470837751856;0.9560047562425684;0.9833134684147796;0.990057361376673;1.010404161664666;1.09794101279911;15646.999999999998;16030.0;31677.0;1.0244775356298332;GI
GIN;651623.0;634996.0;983505.0;961552.0;1090837.0;1092634.0;628924.0;691782.0;387537.0;466822.0;471372.0;610348.0;0.9744837122078256;0.9776788120040062;1.0016473588629649;1.099945303407089;1.204586916862132;1.294832955712261;4213798.0;4458134.0;8671932.0;1.0579847444039796;GN
