country_code,bucket,sex,pop
CYM,2534,male,5617.0
CYM,2534,female,5550.0
CYM,3544,male,7190.0
CYM,3544,female,6977.0
CYM,4554,male,6726.0
CYM,4554,female,6417.0
CYM,55plus,male,5023.0
CYM,55plus,female,4944.0
CYP,1014,male,36779.0
CYP,1014,female,34689.0
CYP,1519,male,35091.0
CYP,1519,female,33093.0
CYP,2024,male,37960.0
CYP,2024,female,36411.0
CYP,2534,male,104053.0
CYP,2534,female,96692.0
CYP,3544,male,134969.0
CYP,3544,female,119106.0
CYP,4554,male,94402.0
CYP,4554,female,97709.0
CYP,55plus,male,75872.0
CYP,55plus,female,80279.0
CZE,1014,male,282988.0
CZE,1014,female,268996.0
CZE,1519,male,299842.0
CZE,1519,female,286809.0
CZE,2024,male,271699.0
CZE,2024,female,260000.0
CZE,2534,male,601844.0
CZE,2534,female,565834.0
CZE,3544,male,748684.0
CZE,3544,female,699395.0
CZE,4554,male,886819.0
CZE,4554,female,841210.0
CZE,55plus,male,649612.0
CZE,55plus,female,648746.0
DEU,1014,male,1944845.0
DEU,1014,female,1840606.0
DEU,1519,male,1947389.0
DEU,1519,female,1838953.0
DEU,2024,male,2084525.0
DEU,2024,female,1950436.0
DEU,2534,male,4984372.0
DEU,2534,female,4580196.0
DEU,3544,male,5511583.0
DEU,3544,female,5285695.0
DEU,4554,male,5060644.0
DEU,4554,female,5041698.0
DEU,55plus,male,6503530.0
DEU,55plus,female,6562654.0
DJI,1014,male,56963.0
DJI,1014,female,55896.0
DJI,1519,male,57753.0
DJI,1519,female,56905.0
DJI,2024,male,58557.0
DJI,2024,female,58138.0
DJI,2534,male,96653.0
DJI,2534,female,97122.0
DJI,3544,male,76700.0
DJI,3544,female,78524.0
DJI,4554,male,60738.0
DJI,4554,female,64166.0
DJI,55plus,male,37555.0
DJI,55plus,female,41340.0
DMA,1014,male,2124.0
DMA,1014,female,2131.0
DMA,1519,male,2095.0
DMA,1519,female,2243.0
DMA,2024,male,2164.0
DMA,2024,female,2184.0
DMA,2534,male,5167.0
DMA,2534,female,5093.0
DMA,3544,male,4963.0
DMA,3544,female,4876.0
DMA,4554,male,4183.0
DMA,4554,female,3999.0
DMA,55plus,male,4343.0
DMA,55plus,female,4264.0
DNK,1014,male,159474.0
DNK,1014,female,151855.0
DNK,1519,male,179937.0
DNK,1519,female,171137.0
DNK,2024,male,188497.0
DNK,2024,female,181669.0
DNK,2534,male,413938.0
DNK,2534,female,398620.0
DNK,3544,male,359179.0
DNK,3544,female,349786.0
DNK,4554,male,378753.0
DNK,4554,female,380507.0
DNK,55plus,male,394472.0
DNK,55plus,female,395944.0
DOM,1014,male,521812.0
DOM,1014,female,501595.0
DOM,1519,male,501065.0
DOM,1519,female,480805.0
DOM,2024,male,489525.0
DOM,2024,female,472116.0
DOM,2534,male,918855.0
DOM,2534,female,898684.0
DOM,3544,male,774906.0
DOM,3544,female,774927.0
DOM,4554,male,622262.0
DOM,4554,female,641165.0
