iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
GRC;GR;2000;2000;272940;258357;640557;550786;615776;596293;616866;588274;730837;742797;1.0;0.9466;0.8599;0.9684;0.9536;1.0164;2878976;2738507;5617483;0.9512
SGS;GS;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
GTM;GT;2000;2030;1598507;1614004;1634956;1647421;857797;860764;454706;439234;395006;388332;1.015;1.0097;1.0076;1.0035;0.966;0.9831;4942972;4951785;9894757;1.0018
GUM;GU;2000;2000;7530;8073;15233;14746;13071;11350;10500;9453;13373;14377;1.0;1.0721;0.968;0.8683;0.9003;1.0751;61707;59999;121706;0.9723
GNB;GW;2000;2000;52644;38385;81952;57967;49363;28152;21194;10655;14396;7783;1.0;0.7291;0.7073;0.5703;0.5027;0.5406;221549;144942;366491;0.6542
GUY;GY;2000;2000;64561;64075;91452;89810;53733;53356;36667;39200;38154;45421;1.0;0.9925;0.982;0.993;1.0691;1.1905;286567;293862;580429;1.0255
HKG;HK;2000;2000;145388;176274;526688;697399;561693;827466;375944;434418;492219;517169;1.0;1.2124;1.3241;1.4732;1.1555;1.0507;2103932;2654726;4758658;1.2618
HND;HN;2000;2000;695306;709911;749679;793324;427713;475761;237385;271649;217852;256458;1.0;1.021;1.0582;1.1123;1.1443;1.1772;2329935;2509103;4839038;1.0769
HRV;HR;2000;2000;103434;101772;269524;241089;228078;219863;178108;185683;218565;246355;1.0;0.9839;0.8945;0.964;1.0425;1.1271;999709;996762;1996471;0.9971
HTI;HT;2000;2000;464236;426085;531407;529663;317914;280105;142778;99475;112585;78979;1.0;0.9178;0.9967;0.8811;0.6967;0.7015;1570920;1416307;2987227;0.9016
HUN;HU;2000;2000;392174;399540;674190;634263;586860;595037;597834;664717;667056;995527;1.0;1.0188;0.9408;1.0139;1.1119;1.4924;2920114;3291084;6211198;1.127
IDN;ID;2693;2156;14391524;11304636;29785185;22614445;18203333;13194943;8486667;5966667;5070000;3211433;0.8006;0.7855;0.7593;0.7249;0.7031;0.6334;75939402;56294280;132233682;0.7413
IRL;IE;2000;2000;148050;163024;325900;336826;311458;365553;254503;305904;286052;374216;1.0;1.1011;1.0335;1.1737;1.202;1.3082;1327963;1547523;2875486;1.1653
ISR;IL;2000;2000;320054;271338;777634;650630;585220;539123;409894;430189;551440;664495;1.0;0.8478;0.8367;0.9212;1.0495;1.205;2646242;2557775;5204017;0.9666
IMN;IM;2000;2000;3100;3000;4800;4838;4600;5370;4600;5300;8737;10407;1.0;0.9677;1.0079;1.1674;1.1522;1.1911;27837;30915;58752;1.1106
IND;IN;73319;26696;84044712;30851719;118098978;43287241;59051839;20923334;24620000;9200000;18208621;7966667;0.3641;0.3671;0.3665;0.3543;0.3737;0.4375;304097469;112255657;416353126;0.3691
IOT;IO;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
IRQ;IQ;2867;2000;4195474;1586904;5900000;2300000;3063333;1056864;1568000;560065;1095385;429986;0.6976;0.3782;0.3898;0.345;0.3572;0.3925;15825059;5935819;21760878;0.3751
ISL;IS;2000;2000;16200;16489;32496;29882;26571;25035;21544;21711;37952;44956;1.0;1.0178;0.9196;0.9422;1.0078;1.1845;136763;140073;276836;1.0242
ITA;IT;2000;2000;1125426;1025597;3200000;2900000;3000000;2970000;3243333;3366667;5200000;5366667;1.0;0.9113;0.9062;0.99;1.038;1.0321;15770759;15630931;31401690;0.9911
JEY;JE;2000;2000;2900;3037;5800;5800;6167;6747;5670;6400;9154;11350;1.0;1.0472;1.0;1.094;1.1287;1.2399;31691;35334;67025;1.115
JAM;JM;2000;2000;54266;49957;147343;166639;108021;125779;75681;90684;81426;101670;1.0;0.9206;1.131;1.1644;1.1982;1.2486;468737;536729;1005466;1.1451
