,country_code,region_id,region_level,region_name,support_below_18
514,PL,3337493,PROVINCE,Lodz,True
515,NO,3145495,PROVINCE,More og Romsdal,True
516,MA,11281878,PROVINCE,Beni Mellal-Khenifra,True
517,PT,2732264,PROVINCE,Viseu,True
518,US,716,PROVINCE,"Baton Rouge,DMA®",True
519,CH,2659471,PROVINCE,Nidwalden,True
520,JP,1852442,PROVINCE,Shimane,True
521,RO,669737,PROVINCE,Prahova,True
522,BR,3462372,PROVINCE,Goias,True
523,US,534,PROVINCE,"Orlando-Daytona Beach-Melbourne,DMA®",True
524,MX,4017700,PROVINCE,Baja California,True
525,US,512,PROVINCE,"Baltimore,DMA®",True
526,MX,4005267,PROVINCE,Guanajuato,True
527,US,819,PROVINCE,"Seattle-Tacoma,DMA®",True
528,CH,2658821,PROVINCE,St Gallen,True
529,JP,1860291,PROVINCE,Kanagawa,True
530,US,4155751,PROVINCE,Florida,True
531,JP,2111888,PROVINCE,Miyagi,True
532,MX,3985605,PROVINCE,San Luis Potosi,True
533,MX,3531730,PROVINCE,Campeche,True
534,RO,682714,PROVINCE,Caras-Severin,True
535,US,642,PROVINCE,"Lafayette, LA,DMA®",True
536,AR,3833578,PROVINCE,Tucuman,True
537,TR,742865,PROVINCE,Kocaeli,True
538,US,600,PROVINCE,"Corpus Christi,DMA®",True
539,US,5128638,PROVINCE,New York,True
540,IT,3182306,PROVINCE,Basilicata,True
541,US,657,PROVINCE,"Sherman-Ada,DMA®",True
542,MA,11281874,PROVINCE,Tanger-Tetouan-Al Hoceima,True
543,TR,748877,PROVINCE,Corum,True
