country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
MYS,Malaysia,3442245.0,2897670.0,3219642.0,2742382.0,2205854.0,1984388.0,1517021.0,1491136.0,122444.5,121093.5,172163.5,171778.0
NAC,North America,26479493.0,24726602.0,26620997.0,25165440.0,23370464.0,22571813.0,23213407.0,23226774.0,334931.0,330354.0,368726.5,378892.5
NAM,Namibia,251970.0,259074.0,183379.0,193981.0,122278.0,127651.0,68774.0,85243.0,333703.0,332250.5,363824.0,386100.5
NCL,New Caledonia,19999.0,20263.0,20888.0,21602.0,19122.0,20369.0,16273.0,16894.0,339930.5,340101.5,367195.5,397791.5
NER,Niger,1858489.0,1784050.0,1192923.0,1137514.0,789200.0,757908.0,499120.0,499815.0,355297.5,353499.5,385277.0,410437.5
NGA,Nigeria,16998814.0,16420743.0,12236486.0,11920962.0,8457920.0,8354606.0,4902912.0,5041940.0,370743.0,367372.0,401154.5,420740.5
NIC,Nicaragua,597268.0,592486.0,473646.0,507187.0,342896.0,373166.0,213413.0,246044.0,1048652.0,1011593.0,1725595.5,1605211.0
NLD,Netherlands,1248008.0,1217771.0,1145215.0,1127310.0,1096492.0,1106190.0,1256118.0,1261756.0,1066025.5,1029434.0,1705499.0,1604961.5
NOR,Norway,391992.0,373099.0,387815.0,372154.0,372116.0,356609.0,356753.0,344628.0,1085271.5,1048711.5,1699444.5,1618943.0
NPL,Nepal,2227673.0,2712094.0,1617873.0,2125141.0,1322773.0,1556018.0,950334.0,1073957.0,1097134.5,1059088.5,1691794.5,1627693.0
NRU,Nauru,880.0,818.0,866.0,839.0,485.0,479.0,305.0,321.0,1101466.0,1060644.5,1686139.5,1634230.5
NZL,New Zealand,378197.0,358618.0,356236.0,360722.0,315616.0,326296.0,312467.0,332063.0,0.0,0.0,0.0,0.0
OED,OECD members,93285608.0,89213077.0,94036462.0,92616505.0,91054387.0,91630612.0,85563734.0,88531701.0,0.0,0.0,0.0,0.0
OMN,Oman,871609.0,379817.0,847017.0,368042.0,377168.0,191625.0,138068.0,87478.0,0.0,0.0,0.0,0.0
