country_code,bucket,pop_male,pop_female
LSO,2534,197446.0,203053.0
LSO,3544,162314.0,173601.0
LSO,4554,77139.0,84229.0
LSO,55plus,42838.0,55900.0
LTE,2024,73451446.0,65787083.0
LTE,2534,164172897.0,148769762.0
LTE,3544,188296904.0,178441569.0
LTE,4554,164435615.0,163416253.0
LTE,55plus,151602861.0,159481124.0
LTU,2024,75148.0,72752.0
LTU,2534,198806.0,182747.0
LTU,3544,205335.0,181909.0
LTU,4554,183634.0,184351.0
LTU,55plus,181564.0,214728.0
LUX,2024,19458.0,18105.0
LUX,2534,51750.0,48870.0
LUX,3544,53701.0,52544.0
LUX,4554,48957.0,47480.0
LUX,55plus,46091.0,43404.0
LVA,2024,45682.0,43405.0
LVA,2534,100100.0,93203.0
LVA,3544,136272.0,130398.0
LVA,4554,121199.0,128522.0
LVA,55plus,113810.0,137521.0
MAC,2024,15531.0,18818.0
MAC,2534,48107.0,57228.0
MAC,3544,58129.0,68913.0
MAC,4554,41849.0,54130.0
MAC,55plus,36464.0,51993.0
MAF,2024,658.0,631.0
MAF,2534,765.0,990.0
MAF,3544,1179.0,1589.0
MAF,4554,1429.0,1805.0
MAF,55plus,1802.0,2063.0
MAR,2024,1510520.0,1438990.0
MAR,2534,2944953.0,2812845.0
MAR,3544,2804584.0,2750550.0
MAR,4554,2253637.0,2264311.0
MAR,55plus,1701598.0,1767288.0
MCO,2024,908.0,876.0
MCO,2534,1874.0,1793.0
MCO,3544,1717.0,1769.0
MCO,4554,1655.0,1876.0
MCO,55plus,2565.0,2642.0
MDA,2024,60303.0,61173.0
MDA,2534,133620.0,140105.0
MDA,3544,183417.0,192241.0
MDA,4554,139284.0,164426.0
MDA,55plus,125309.0,167364.0
MDG,2024,1553488.0,1533959.0
MDG,2534,2530140.0,2511154.0
MDG,3544,1684728.0,1685069.0
MDG,4554,1186970.0,1208441.0
MDG,55plus,718432.0,754230.0
MDV,2024,17332.0,12881.0
MDV,2534,82327.0,35670.0
MDV,3544,83332.0,39175.0
MDV,4554,38936.0,23103.0
MDV,55plus,19371.0,15830.0
MEA,2024,21567895.0,19983831.0
MEA,2534,44758710.0,38783668.0
MEA,3544,42897965.0,37258976.0
MEA,4554,29674642.0,26735328.0
MEA,55plus,18911867.0,18432090.0
MEX,2024,5598363.0,5502324.0
MEX,2534,10370957.0,10649238.0
MEX,3544,8718110.0,9707153.0
MEX,4554,7065494.0,8389238.0
MEX,55plus,5385968.0,6382383.0
MHL,2024,1760.0,1537.0
MHL,2534,1595.0,1576.0
MHL,3544,2197.0,2252.0
