country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
IRL,3544,167500.0,253000.0,363455.0,388299.0,0.4609,0.6516,-0.1907,-17.1433,1.5104,1.0684,1.4137
IRL,4554,141500.0,213000.0,388711.0,400950.0,0.364,0.5312,-0.1672,-18.6777,1.5053,1.0315,1.4593
IRL,55plus,104000.0,153500.0,310927.0,319581.0,0.3345,0.4803,-0.1458,-17.898,1.476,1.0278,1.4361
IRQ,1519,500.0,500.0,2520109.0,2402770.0,0.0002,0.0002,-0.0,-2.3835,1.0,0.9534,1.0489
IRQ,2024,6823000.0,5119000.0,2208780.0,2115100.0,3.089,2.4202,0.6688,12.1399,0.7503,0.9576,0.7835
IRQ,2534,10574000.0,6460500.0,3761704.0,3654815.0,2.811,1.7677,1.0433,22.7861,0.611,0.9716,0.6289
IRQ,3544,3087500.0,1599500.0,2686226.0,2684373.0,1.1494,0.5959,0.5535,31.7164,0.5181,0.9993,0.5185
IRQ,4554,1341500.0,737500.0,1947885.0,2013426.0,0.6887,0.3663,0.3224,30.5601,0.5498,1.0336,0.5319
IRQ,55plus,1289000.0,874500.0,1143645.0,1319933.0,1.1271,0.6625,0.4646,25.9587,0.6784,1.1541,0.5878
ITA,1519,500.0,500.0,1480806.0,1397412.0,0.0003,0.0004,-0.0,-2.8974,1.0,0.9437,1.0597
ITA,2024,2247000.0,2317000.0,1559724.0,1465379.0,1.4406,1.5812,-0.1405,-4.6503,1.0312,0.9395,1.0976
ITA,2534,2595000.0,2783500.0,3255173.0,3013520.0,0.7972,0.9237,-0.1265,-7.3497,1.0726,0.9258,1.1586
ITA,3544,1564000.0,2003000.0,3461335.0,3405962.0,0.4518,0.5881,-0.1362,-13.1006,1.2807,0.984,1.3015
ITA,4554,1584500.0,2128500.0,4366674.0,4403431.0,0.3629,0.4834,-0.1205,-14.2409,1.3433,1.0084,1.3321
ITA,55plus,1723500.0,2472500.0,4509966.0,4720643.0,0.3822,0.5238,-0.1416,-15.6316,1.4346,1.0467,1.3706
JPN,1519,1500.0,1500.0,2903961.0,2750026.0,0.0005,0.0005,-0.0,-2.7226,1.0,0.947,1.056
JPN,2024,15352000.0,15056000.0,3136998.0,2986343.0,4.8939,5.0416,-0.1478,-1.4873,0.9807,0.952,1.0301
JPN,2534,40114000.0,34977000.0,6194414.0,5953869.0,6.4758,5.8747,0.6012,4.8676,0.8719,0.9612,0.9071
JPN,3544,34534000.0,17530500.0,6981661.0,6787158.0,4.9464,2.5829,2.3635,31.3907,0.5076,0.9721,0.5222
JPN,4554,9155000.0,12168500.0,9259254.0,9116671.0,0.9887,1.3348,-0.346,-14.8919,1.3292,0.9846,1.35
JPN,55plus,7454000.0,8260500.0,8183770.0,8036868.0,0.9108,1.0278,-0.117,-6.035,1.1082,0.982,1.1285
KAZ,1519,500.0,500.0,860694.0,821650.0,0.0006,0.0006,-0.0,-2.3208,1.0,0.9546,1.0476
KAZ,2024,2322000.0,2461000.0,643748.0,618716.0,3.607,3.9776,-0.3706,-4.8861,1.0599,0.9611,1.1028
KAZ,2534,3663500.0,2552500.0,1375828.0,1338288.0,2.6628,1.9073,0.7555,16.531,0.6967,0.9727,0.7163
KAZ,3544,1432000.0,1008500.0,1496148.0,1496632.0,0.9571,0.6738,0.2833,17.3687,0.7043,1.0003,0.7041
KAZ,4554,786000.0,652500.0,1105995.0,1204856.0,0.7107,0.5416,0.1691,13.505,0.8302,1.0894,0.7621
KAZ,55plus,657000.0,757500.0,878789.0,1052580.0,0.7476,0.7197,0.028,1.9055,1.153,1.1978,0.9626
KEN,1519,500.0,500.0,3327181.0,3314668.0,0.0002,0.0002,-0.0,-0.1884,1.0,0.9962,1.0038
KEN,2024,3204000.0,2244000.0,2836210.0,2900422.0,1.1297,0.7737,0.356,18.7036,0.7004,1.0226,0.6849
KEN,2534,4916000.0,2694000.0,4374464.0,4589867.0,1.1238,0.5869,0.5368,31.3811,0.548,1.0492,0.5223
KEN,3544,1550500.0,820500.0,3385955.0,3330779.0,0.4579,0.2463,0.2116,30.0432,0.5292,0.9837,0.538
KEN,4554,607000.0,351500.0,2165767.0,2135874.0,0.2803,0.1646,0.1157,26.0095,0.5791,0.9862,0.5872
KEN,55plus,364000.0,312500.0,1248806.0,1324462.0,0.2915,0.2359,0.0555,10.5292,0.8585,1.0606,0.8094
KOR,1519,1000.0,1000.0,1186996.0,1116139.0,0.0008,0.0009,-0.0001,-3.0765,1.0,0.9403,1.0635
KOR,2024,5969000.0,5803000.0,1407244.0,1292288.0,4.2416,4.4905,-0.2489,-2.85,0.9722,0.9183,1.0587
KOR,2534,15943500.0,10108000.0,3761187.0,3320203.0,4.239,3.0444,1.1946,16.4013,0.634,0.8828,0.7182
KOR,3544,17239500.0,5934000.0,3708323.0,3409962.0,4.6489,1.7402,2.9087,45.5258,0.3442,0.9195,0.3743
KOR,4554,2995000.0,3299500.0,4149582.0,4025828.0,0.7218,0.8196,-0.0978,-6.3466,1.1017,0.9702,1.1355
KOR,55plus,3456500.0,3856000.0,4191824.0,4233539.0,0.8246,0.9108,-0.0862,-4.9695,1.1156,1.01,1.1046
